"key","BF","up1","down1","up3","down3"
"th12q",0.22736404165730129,0.0014206980111233843,0.0014206980111233843,0.004262094033370153,0.004262094033370153
"th13q",0.0031450833120937817,0.0004904375198104066,0.0004904375198104066,0.0014713125594312197,0.0014713125594312197
"th23q",0.03584906283596353,0.006702064327658226,0.006702064327658226,0.020106192982974676,0.020106192982974676
"deltaq",1.2079423753052754,0.10803588069844901,0.10803588069844901,0.32410764209534704,0.32410764209534704
"yu",2.92e-6,1.81e-6,1.81e-6,5.4300000000000005e-6,5.4300000000000005e-6
"yc",0.00143,0.0001,0.0001,0.00030000000000000003,0.00030000000000000003
"yt",0.534,0.0341,0.0341,0.1023,0.1023
"yd",4.81e-6,1.06e-6,1.06e-6,3.18e-6,3.18e-6
"ys",0.00009520000000000001,0.000010300000000000001,0.000010300000000000001,0.000030900000000000006,0.000030900000000000006
"yb",0.0069500000000000004,0.000175,0.000175,0.000525,0.000525
